Time,Price,Items,MCFU
1214,72.27,20,5
3218,110.53,27,8
1390,33.54,13,5
1862,68.71,20,6
2359,140.09,36,5
2183,46.82,12,5
1580,83.54,22,7
1766,47.88,23,6
1693,86.13,17,6
1925,32.52,18,2
895,61.75,14,4
2293,89.74,26,5
2880,116.12,46,11
2498,39.37,24,3
2841,91.27,31,5
517,31.67,10,3
3039,47.77,23,6
2172,69.38,14,3
2254,43.05,24,8
1269,58.36,13,4
1213,88.8,21,4
1331,75.23,13,2
1812,36.52,23,5
1304,34.86,9,3
2116,144.49,27,3
1411,20.490000000000002,13,3
2489,42.89,20,6
2381,34.51,13,1
2068,48.96,25,7
4217,211.39,55,17
2248,45.13,24,10
2346,72.97,22,5
1183,25.08,16,4
1821,66.14,18,4
2781,59.69,27,7
4462,89.35,49,8
2953,96.09,28,7
2335,76.86,27,7
3015,185.88,39,8
1645,59.71,18,4
1376,84.77,24,5
1204,59.57,13,5
1921,42.33,17,2
2720,60.26,31,7
1562,64.83,19,7
1897,61.339999999999996,27,8
260,3.83,3,0
3896,204.8,54,18
224,12.06,4,1
1787,84.55,22,4
2048,131.51,36,10
1230,9.29,6,2
1020,58.13,19,5
2465,66.88,28,10
2507,53.08,19,6
1890,123.0,27,7
1797,80.69,18,7
1231,26.26,16,1
1372,36.59,7,1
1188,46.28,16,10
2063,55.26,22,4
4932,171.08,44,14
1582,16.36,21,2
984,49.19,13,4
3119,57.16,37,10
2728,107.33,24,11
1589,27.4,20,8
1684,57.74,27,7
1801,59.23,34,8
3164,151.17,32,7
3229,52.24,29,10
1257,24.33,16,4
6658,320.64,76,21
1250,56.410000000000004,14,4
5119,314.49,89,22
3008,114.19,26,6
2187,200.06,38,12
2123,41.49,16,6
2189,91.8,21,5
1074,34.65,20,4
1760,81.42,21,5
6595,185.72,73,23
1421,38.22,19,4
1673,53.7,18,5
3049,101.36,36,5
2753,150.64,31,8
2322,165.64,34,5
2529,237.85,33,5
3595,83.3,44,9
882,44.0,15,3
1552,36.48,22,2
1353,72.47,22,8
1830,170.35,37,11
3015,65.88,22,6
1785,28.97,8,0
1522,74.88,20,4
2051,108.9,18,4
4257,151.74,46,10
986,30.560000000000002,12,3
1344,63.3,20,6
3187,128.22,25,8
1684,113.91,19,7
1665,58.15,31,12
4047,76.56,43,12
1547,18.28,16,2
1526,67.41,25,6
1463,11.73,8,4
1008,20.52,11,3
1485,47.85,14,2
3776,160.6,45,15
2938,65.01,30,8
2255,56.99,23,5
1336,65.28,13,6
2319,133.79,29,9
1279,58.93,21,5
1311,11.31,7,1
3525,132.60999999999999,35,9
4262,137.29,35,10
2953,59.99,33,11
1957,31.05,23,6
1914,80.88,21,5
1905,96.36,23,8
947,10.85,9,4
896,24.76,11,1
2075,55.2,24,7
2087,51.93,15,3
1450,90.48,23,10
2113,16.97,15,4
2305,52.24,25,7
926,61.75,12,5
1462,117.11,29,9
2458,89.66,27,10
2176,71.24,21,4
1421,41.11,20,4
1383,54.51,12,2
1735,110.14,20,7
1239,85.85,13,4
1838,61.47,23,6
2411,115.74,29,7
3321,134.06,36,8
625,24.19,10,2
863,56.12,14,4
849,19.74,12,3
2334,74.25,30,5
1326,54.57,11,1
1048,53.2,14,5
1431,67.8,19,9
2352,60.4,19,6
1341,64.7,23,3
1090,79.48,17,2
1927,125.7,30,9
1170,38.21,17,4
1668,82.04,20,4
4061,69.61,26,4
1953,143.55,28,8
2313,54.44,29,9
1362,27.009999999999998,17,6
3906,107.96,30,8
3218,79.95,26,6
2061,173.57999999999998,36,12
1551,62.04,11,2
1255,47.839999999999996,16,7
3425,134.0,33,7
2214,40.85,23,6
1379,41.68,20,4
2748,120.78,33,11
1023,81.0,17,4
1740,177.63,37,8
1683,35.4,18,8
4559,135.87,47,12
2620,110.5,50,13
1662,44.76,16,8
2939,86.28,24,8
2266,58.6,30,4
1125,12.24,9,0
878,24.57,10,2
2203,26.740000000000002,14,4
2344,84.47,22,7
2804,157.44,41,13
2161,25.26,13,2
2341,54.03,19,8
1645,108.12,24,6
2779,168.82,40,13
999,58.23,15,5
1928,43.5,20,6
1509,59.68,20,6
1550,108.76,26,10
2035,62.589999999999996,29,8
1131,43.73,13,3
2089,124.16,23,7
1207,83.13,19,3
1496,44.72,9,2
1231,64.47,17,0
2191,75.83,33,12
1435,58.39,17,5
1344,108.31,21,7
2731,122.15,24,8
629,28.759999999999998,10,2
3145,98.61,30,7
1203,81.16,15,4
1017,72.88,15,4
2557,57.81,31,9
1383,53.74,13,4
1210,55.24,15,4
1174,58.28,15,3
2241,72.26,18,4
1876,114.14999999999999,25,9
926,50.06,10,0
3610,68.03,38,11
2171,78.08,23,6
1329,47.38,16,6
1030,31.58,11,2
2461,86.72,24,8
614,24.68,10,2
1926,79.27,23,6
2072,66.22,21,6
1503,71.32,19,7
2431,106.85,29,7
881,25.580000000000002,8,3
1840,69.94,24,4
1583,48.300000000000004,18,5
2708,168.32999999999998,31,9
1315,37.62,17,5
1389,119.25,22,6
2565,60.74,14,3
2262,91.66,22,6
2544,65.78,15,5
3460,49.98,29,9
1280,39.22,18,6
2227,92.04,25,6
1598,74.22,21,8
2044,78.37,23,4
1022,71.36,16,4
3810,236.12,60,16
1269,16.85,10,1
783,41.85,10,3
923,61.12,16,5
1583,54.3,16,6
943,96.38,18,7
1966,108.31,17,2
1177,30.080000000000002,18,4
3846,187.0,39,15
699,26.09,8,1
1131,37.99,14,1
714,39.78,12,6
1193,54.62,15,5
1317,26.53,10,3
1912,54.379999999999995,18,6
1299,105.76,20,7
3090,76.3,47,16
1517,26.38,15,4
1450,22.16,5,1
758,32.660000000000004,11,4
1116,53.67,12,3
1611,60.36,24,4
2090,62.84,19,6
2766,48.99,31,5
1216,16.75,13,3
1797,65.63,21,5
3062,145.98,36,8
2388,107.27,29,8
2504,51.64,32,12
2369,138.08,29,8
3402,56.79,34,7
1314,30.37,10,3
1169,36.49,17,4
2242,139.98,30,11
1191,112.73,22,10
2625,50.71,22,7
1350,27.099999999999998,18,8
2207,159.56,39,6
2093,117.56,33,10
2592,127.2,28,8
1881,97.47,25,11
1077,39.5,15,4
1403,29.06,19,3
1403,60.31,17,3
2514,59.77,15,1
1565,32.96,11,3
4837,242.4,78,20
1634,41.690000000000005,16,4
2424,140.16,25,4
2171,48.14,25,8
2236,87.58,21,4
892,24.19,12,4
1289,19.42,11,2
445,20.27,8,4
3362,76.91,37,6
2656,117.01,32,9
1022,31.17,9,1
884,59.02,12,4
1641,24.650000000000002,18,2
1911,48.26,22,6
2312,85.8,23,1
1816,86.91,24,9
782,7.11,4,0
290,4.1000000000000005,5,1
1746,135.17000000000002,33,6
1692,25.95,19,1
2302,108.08,28,9
1549,27.91,20,6
729,13.56,9,2
369,8.94,6,0
1542,43.28,17,5
1671,31.91,18,7
2481,93.45,20,6
1819,51.56,27,5
2167,111.54,26,8
1974,76.78,19,5
1578,141.52,26,5
2589,179.04,42,12
3551,119.28,36,6
1662,25.04,8,0
1695,60.26,17,3
483,34.99,11,2
3676,210.62,49,13
2740,37.63,18,3
407,24.28,9,4
3787,115.46000000000001,39,6
1405,124.99,20,4
1861,53.71,18,2
959,37.589999999999996,10,2
874,31.89,14,4
1769,34.88,22,6
1273,20.68,12,5
1716,30.67,18,4
1248,158.11,28,9
1206,42.06,23,4
868,42.3,10,1
2218,38.74,20,5
1877,82.44,28,6
1813,33.69,24,2
2317,75.72,40,8
4586,239.25,58,15
663,15.58,7,2
1733,158.22,26,9
963,61.12,10,3
1692,105.61,21,9
716,20.84,11,3
2076,71.4,22,5
302,2.2,2,0
2784,51.01,37,9
2207,36.73,19,4
2085,71.68,24,6
1588,85.4,19,9
2325,110.36,26,8
1301,37.69,20,10
1487,27.75,11,2
1738,95.03,23,8
1381,85.9,22,5
2494,60.4,16,4
1530,71.42,18,4
2193,42.62,12,5
1245,48.080000000000005,15,4
2008,18.75,13,4
1456,85.76,21,4
3609,119.77,36,15
2488,99.2,26,9
2394,151.76,29,8
2831,51.95,29,7
3394,135.44,28,4
658,67.39,13,2
3259,214.97,41,13
763,29.86,13,4
1984,108.96,25,4
2320,82.38,28,11
2821,52.68,28,7
1495,80.38,15,2
2503,52.57,17,3
1400,86.98,19,3
1284,54.14,20,6
1400,30.8,8,3
3143,194.74,40,6
1162,13.69,7,3
1342,135.13,30,8
3163,143.83,43,13
1129,37.269999999999996,12,3
4283,55.63,26,7
2693,83.03,25,4
2679,89.8,30,7
1500,143.26,30,5
1281,149.31,25,6
1649,93.42,24,4
3284,74.44,33,7
2467,30.71,24,4
2100,43.97,18,5
1224,28.94,21,4
3077,42.19,20,4
847,42.81,13,3
1789,72.03999999999999,19,7
1694,63.27,19,5
976,44.44,15,7
1284,75.75,19,7
880,22.4,9,1
1537,19.61,6,1
2168,113.21000000000001,25,11
2749,79.12,21,6
1466,83.54,17,1
1733,60.58,29,9
1798,105.93,21,4
1820,105.36,26,7
1660,68.45,18,4
1200,108.03,20,4
3381,76.49,39,13
3134,52.940000000000005,28,12
2185,64.18,10,3
3416,103.81,38,6
1707,68.96,20,4
820,3.78,4,0
2223,60.61,33,11
1388,80.56,21,3
2767,171.13,48,9
1928,51.26,21,5
1817,62.21,22,8
1824,135.88,27,8
1227,15.4,11,3
1483,89.9,23,5
566,14.63,6,1
1645,113.0,23,9
3915,112.59,31,8
2442,124.71,26,10
1233,40.74,17,3
1155,24.92,10,1
1613,23.759999999999998,11,3
1285,59.370000000000005,13,2
510,38.18,8,4
900,50.2,12,4
759,16.29,8,3
1811,37.68,29,7
1136,43.76,10,2
1794,68.86,23,4
1430,34.6,23,3
2192,74.25,26,8
611,31.53,9,4
2418,93.22,31,11
937,30.22,10,1
2453,143.96,32,9
3381,100.48,30,8
1765,50.03,20,3
4304,90.8,34,8
843,29.22,15,7
1053,59.9,13,4
1588,41.01,21,5
2536,141.52,22,8
2173,154.71,37,6
3104,156.32,31,5
1687,32.42,17,5
3168,159.21,45,5
3222,90.07,25,11
2191,111.77,29,4
2119,127.88,28,9
1347,50.08,13,4
1629,59.87,32,9
1331,82.34,14,4
1348,36.32,23,3
3161,56.35,20,4
2225,47.47,19,5
1494,66.12,15,3
1959,124.1,33,11
2178,44.52,26,4
791,21.08,13,4
1749,162.03,21,7
763,55.11,12,4
1473,14.36,9,2
3094,94.89,40,9
1753,110.59,22,4
5372,145.21,42,11
1696,58.8,16,3
2052,75.32,21,6
1188,38.33,15,5
2489,170.85,41,7
1628,102.12,22,0
1820,72.61,17,5
1120,11.85,12,2
1260,106.43,25,5
3344,147.47,33,11
2089,44.81,22,6
519,63.94,10,4
1267,63.65,15,5
987,17.35,7,2
1057,18.2,13,5
2258,89.28999999999999,19,3
1698,74.21,22,8
2469,113.3,27,8
2163,47.0,17,4
4190,57.68,23,8
1269,42.1,18,4
2063,95.50999999999999,18,4
1556,51.99,18,5
2284,109.19,25,9
2448,56.03,20,5
868,17.63,5,0
1305,63.07,16,5
1253,58.309999999999995,21,5
834,39.0,9,1
2695,138.6,26,5
2054,81.82,24,5
4130,74.0,46,12
892,49.89,14,3
830,57.529999999999994,9,4
2107,56.31,33,13
1037,74.94,17,8
1967,33.19,20,7
1618,32.33,24,7
2295,99.9,26,7
1490,62.55,18,3
1988,45.94,23,5
1630,89.41,17,5
1796,90.08,24,4
735,11.68,7,0
919,69.22,18,4
2699,151.13,31,11
919,12.95,11,1
1906,126.59,22,7
1940,96.74,25,4
1787,32.339999999999996,15,2
1129,44.339999999999996,17,6
883,88.84,20,4
2115,112.52,30,8
1104,69.1,20,4
1279,129.89000000000001,22,7
5141,97.69,58,15
1744,23.830000000000002,15,3
2558,52.96,32,10
2019,106.6,31,8
2319,43.51,20,6
1240,74.89,12,4
2260,85.86,39,14
941,34.36,9,1
2203,67.53999999999999,34,5
2401,117.8,25,2
2354,173.92,26,8
1936,114.60000000000001,26,10
1984,103.64,26,8
2483,49.87,30,4
1713,35.74,16,4
4047,232.67000000000002,40,8
1825,67.96000000000001,17,5
1336,73.12,17,3
2070,130.68,30,15
1299,33.71,15,3
2572,123.44,33,11
1377,38.81,20,3
1815,96.28999999999999,22,4
2070,51.989999999999995,13,6
3362,210.35,43,11
4872,187.34,43,11
1308,87.31,19,4
2130,94.42,25,5
3096,63.26,36,14
3110,28.95,22,7
3853,145.0,37,10
1968,68.98,31,12
2197,93.44,21,8
1339,84.52,21,2
3219,133.26,30,12
815,37.98,12,2
1856,58.73,14,1
1863,45.04,21,4
1270,66.26,18,3
1526,47.730000000000004,17,4
1813,98.56,17,4
1691,69.09,14,6
966,28.759999999999998,12,2
968,10.37,11,4
1256,50.76,16,6
961,78.59,17,3
1524,49.32,16,5
1286,31.86,15,6
1775,137.9,34,7
2183,55.25,24,7
1063,101.84,28,11
2129,109.53999999999999,28,5
1467,28.9,22,3
1234,30.69,20,4
3223,144.83,38,11
1361,61.58,19,4
2851,109.78,25,9
833,21.97,13,4
1455,57.79,13,1
1332,22.759999999999998,15,4
273,9.719999999999999,5,2
1239,12.19,14,7
1974,32.83,20,6
2531,51.59,35,8
1589,44.61,15,3
877,10.99,9,1
1527,49.19,22,5
1139,124.46,21,3
1808,56.36,21,8
1363,9.99,8,2
4530,114.6,42,13
1086,69.03,13,1
2383,116.42,22,8
1566,64.37,13,2
1799,68.47,18,7
1888,29.27,19,3
2230,152.81,36,10
1446,47.08,11,2
3169,166.2,43,13
2361,93.02,18,5
2045,38.28,10,1
3422,48.6,15,4
453,1.72,2,0
1339,32.76,18,7
3381,160.22,42,8
1693,79.17,17,7
1654,76.8,19,10
6469,342.09,75,25
2025,158.31,24,7
2706,115.23,37,13
252,9.120000000000001,5,0
2456,42.79,22,3
1033,66.79,18,5
2867,134.74,38,10
1746,63.31,20,7
1367,74.92,17,6
701,34.81,11,3
1532,62.08,21,10
630,23.66,6,1
3754,119.57000000000001,28,7
1452,97.84,21,6
1176,48.54,14,6
1079,63.550000000000004,12,5
1834,113.68,32,5
1486,113.46,23,7
2561,112.95,32,7
2035,136.34,35,4
919,37.57,12,4
2765,138.42,29,7
771,35.99,8,3
2856,34.33,18,2
917,20.99,7,1
561,15.43,7,3
1797,38.38,8,1
1924,94.94,39,7
1331,19.81,15,5
2042,50.02,21,5
1136,34.05,16,5
1833,58.75,16,6
2841,183.08,51,10
1445,90.48,20,6
1797,42.94,22,3
811,1.9,4,0
2510,183.22,41,8
1577,80.9,17,6
2676,144.46,28,4
1049,2.77,5,0
1429,51.08,13,2
2081,43.300000000000004,21,10
1238,72.47,15,6
2282,74.55,18,7
972,61.88,16,4
2773,48.07,22,5
1741,82.44,20,7
3520,262.96,49,7
4796,87.3,44,12
1220,59.88,22,5
1396,38.35,17,7
1308,55.83,15,2
2002,107.62,36,9
1772,52.46,25,7
2910,191.18,40,11
730,14.81,5,1
2211,142.60999999999999,36,13
1060,49.85,10,3
1629,70.72,19,5
3255,171.09,35,8
1403,53.12,15,2
4303,129.35999999999999,32,9
383,14.24,8,0
1370,16.94,12,3
1361,73.37,15,5
1683,43.61,25,11
639,24.08,11,3
1588,112.89,28,12
1028,118.78999999999999,18,8
2115,69.0,29,5
2848,27.56,19,5
2395,67.96,22,8
2331,97.82,28,9
2100,60.21,15,3
3160,119.16,33,7
2307,41.26,18,8
1234,63.78,16,5
2119,181.97,41,10
1745,35.12,16,7
925,48.58,17,4
1471,41.54,13,4
836,20.6,8,2
1147,66.25,12,7
2514,78.84,25,7
1620,41.01,13,1
2287,39.08,22,7
2462,56.26,27,8
2589,83.64,39,12
2549,152.38,33,3
3521,167.74,34,11
2213,165.0,27,7
888,39.33,18,6
2091,91.25,25,6
1802,61.46,17,5
1345,81.23,19,6
1340,47.22,14,7
2623,95.86,28,6
2700,82.45,38,13
991,27.03,20,3
4661,256.74,63,15
558,7.47,4,0
1037,55.5,12,4
2212,36.839999999999996,16,5
2312,110.58,24,8
1969,128.79,21,5
1752,62.92,25,8
1362,95.71,15,2
1980,24.240000000000002,25,4
2503,53.56,18,4
1404,61.62,18,4
1412,108.85,24,7
1608,107.07,29,7
1926,30.86,15,3
1855,32.83,23,7
1863,88.61,21,6
819,52.56,18,6
3028,114.88,33,4
3585,153.21,32,7
3526,198.77,59,23
1641,76.54,22,11
2354,90.07,19,6
1228,35.73,14,3
1785,23.74,12,5
1745,62.79,18,3
2631,216.01,46,10
2159,97.8,24,7
815,39.87,9,3
1499,122.03,24,10
1486,85.77,19,6
2147,80.78,21,5
3652,74.05,38,7
2601,72.07,18,2
2018,68.48,29,7
883,66.07000000000001,13,3
1537,23.7,13,1
3612,116.49,40,6
4155,80.61,38,12
2075,124.23,24,7
1790,54.09,28,3
534,29.63,12,3
2453,63.59,27,7
3539,244.54,49,14
1757,69.54,18,10
616,42.93,11,3
1491,42.910000000000004,19,7
450,20.59,12,3
985,16.35,9,3
2617,241.68,41,4
1111,15.120000000000001,6,1
1516,38.8,14,3
2271,32.98,22,7
1072,75.97,20,4
1022,31.47,9,4
1327,73.34,17,4
2174,46.51,24,6
1204,67.03999999999999,20,3
2104,36.49,19,3
636,1.63,3,0
174,5.92,5,1
1683,44.15,18,2
1603,74.78,22,8
2736,100.85,25,6
1955,65.36,18,7
3302,75.94,25,5
2011,161.25,33,7
1852,79.22,24,5
1197,74.74,16,4
748,11.18,7,2
2494,66.1,24,2
1161,106.43,21,4
2349,76.57000000000001,23,6
1320,64.08,19,3
918,50.28,15,9
1201,41.54,21,3
1234,60.19,16,4
3226,162.41,40,13
3229,196.4,39,9
1856,68.35,27,7
1022,95.59,18,4
1733,70.77,18,7
2271,93.65,27,7
1288,16.71,14,4
1015,31.93,14,4
2052,127.79,28,3
1274,45.22,13,3
1904,59.21,13,0
1221,114.57000000000001,19,8
708,22.95,10,5
2392,125.46,28,10
5002,167.7,79,18
2121,39.82,22,3
2013,96.45,23,6
2084,71.56,19,5
2540,116.34,30,10
1428,101.55,22,5
2097,109.66,25,7
3643,161.23,40,8
1696,91.73,29,8
4040,106.74,35,9
1857,107.9,20,9
1552,40.2,16,7
1196,118.54,26,4
2528,189.33,47,16
2631,98.24,28,9
2837,147.11,35,7
2508,98.68,43,10
2054,129.85,28,9
1734,31.240000000000002,12,0
2676,138.57,42,12
1549,78.19,17,4
3302,156.76,41,14
2047,106.41,24,12
2196,87.15,22,5
3667,167.45,41,10
2985,214.14000000000001,48,13
2051,48.5,24,5
2032,98.07,31,8
2102,128.28,32,10
1391,64.27,18,6
1136,75.78999999999999,17,5
1476,58.629999999999995,17,7
3047,65.6,24,4
1733,64.19,12,3
2500,33.56,11,2
6015,94.26,55,10
842,59.18,17,5
2515,182.92,37,9
1580,38.75,19,9
5815,98.24,50,16
1139,30.47,13,4
1240,120.36,21,7
1350,76.71000000000001,18,4
1675,69.44,20,6
721,18.45,7,3
4406,43.68,23,5
764,34.04,10,2
1921,42.83,26,5
1331,70.87,17,6
2165,86.55,30,6
2129,105.17,25,7
1386,101.23,27,9
2247,122.43,23,9
1461,33.45,23,7
736,11.79,7,2
636,54.74,14,2
1487,27.32,20,4
1445,90.8,18,5
1128,65.99,21,7
2678,90.2,28,10
1888,116.39,27,7
1152,87.61,18,5
2869,157.01,44,6
1700,95.09,34,5
1186,53.33,16,4
1898,116.03,23,6
6048,64.82,42,17
1631,61.27,18,5
1487,28.689999999999998,12,1
3012,166.7,35,8
1287,43.94,16,6
1303,42.589999999999996,13,1
1682,30.22,11,3
1247,62.21,14,4
831,34.21,9,2
2640,40.87,23,4
2040,47.440000000000005,14,4
1869,127.81,32,9
1073,50.47,12,2
1971,117.5,27,5
1073,75.99,14,2
4164,205.26,46,11
1544,72.47,20,4
3029,192.19,47,14
1380,91.83,19,2
1651,99.57,21,3
2699,70.08,35,11
2419,152.99,38,9
2731,68.03,16,3
1191,75.55,19,3
2972,113.24,34,8
1705,83.42,25,10
742,55.42,14,3
1952,148.07,37,9
1536,97.82,25,5
2241,44.98,27,5
1486,104.55,29,5
1409,90.61,21,1
1789,69.02,12,1
3262,64.23,32,9
837,23.06,10,3
910,81.91,14,4
1806,86.96,28,4
2680,65.69,20,10
1142,34.4,15,5
2214,62.68,20,7
382,41.52,9,5
2358,108.33,23,6
1841,87.09,20,1
955,40.82,8,2
690,13.29,9,5
1280,73.7,20,5
1993,43.39,24,8
1804,129.26,25,6
2106,90.62,33,10
1789,41.69,26,5
1783,111.33,28,7
963,25.54,14,3
904,14.719999999999999,7,0
3670,75.92,25,8
1378,103.87,20,6
2452,94.88,24,7
2790,50.51,14,2
1561,93.21000000000001,22,6
1079,49.480000000000004,13,5
2298,42.35,20,6
1409,41.04,12,4
1934,48.15,12,4
1250,39.13,21,4
2718,154.07,39,11
864,37.9,13,3
2173,163.54999999999998,35,9
1311,70.43,19,7
2193,70.08,21,4
1992,113.7,28,6
1893,47.97,23,9
1321,40.71,20,6
781,70.13,13,7
1450,49.04,18,6
1810,90.49,19,5
2238,53.1,25,10
3008,104.58,26,11
1404,14.31,12,4
2027,106.71000000000001,17,6
2963,155.14,33,9
916,24.34,10,3
866,56.21,16,2
2384,80.71,22,3
2357,57.95,29,5
1886,71.61,20,5
2373,140.58,33,13
1652,19.27,13,3
1596,74.02,21,4
2574,35.88,20,5
3141,101.21,24,6
1046,57.78,13,4
1344,79.53,22,9
2241,125.83,29,11
2558,50.04,19,3
984,26.189999999999998,10,7
1491,32.05,11,3
1590,36.39,21,2
1723,35.64,12,4
1033,63.54,13,0
3435,113.71,41,13
2598,56.22,23,4
1873,92.14,28,9
1324,14.540000000000001,11,2
2767,89.95,30,1
1037,42.15,10,2
4021,75.73,26,6
3464,159.29,41,15
1828,110.59,22,6
2939,84.7,38,4
1670,94.79,28,3
1449,28.43,14,5
714,10.98,8,2
1910,72.62,24,7
2871,53.61,26,6
2427,150.06,35,8
1995,89.08,26,7
1577,54.02,18,4
4614,149.61,35,8
431,18.5,5,0
951,20.43,8,4
1814,46.99,20,5
1201,87.95,23,2
1375,69.53999999999999,16,4
2554,79.82000000000001,18,3
2023,67.66,22,8
3243,102.91,50,16
803,26.1,12,1
1661,31.38,20,4
532,31.52,10,3
2155,175.45,31,9
2615,41.56,20,7
1927,43.7,19,7
3545,169.14000000000001,35,10
3667,97.13,36,8
1984,172.4,37,9
2211,106.46,24,9
1780,26.04,17,6
1305,28.0,15,4
1293,66.67,18,5
2295,41.76,19,5
1420,37.58,19,6
1154,71.72,16,4
1956,135.09,27,5
1385,96.9,24,8
1159,27.9,15,4
1911,55.78,11,2
1160,63.47,18,7
1496,59.57,16,3
1386,37.53,14,5
2656,145.68,32,7
1833,25.57,17,3
1781,53.77,12,2
637,51.660000000000004,12,5
1428,57.46,13,3
3867,228.76,56,9
1469,79.22,21,6
1757,32.46,17,8
1064,68.68,14,5
1646,53.85,11,3
2201,54.01,35,8
2076,66.24,21,3
906,81.51,18,5
922,45.45,15,4
7732,304.19,79,20
4813,336.07,67,16
3594,78.63,39,16
1096,43.74,11,2
1319,63.730000000000004,13,5
510,51.03,10,2
966,22.21,12,5
2931,107.74,29,6
1551,64.92,15,4
1677,104.5,24,6
1154,66.84,18,7
2164,69.16,20,5
805,49.13,18,6
4048,220.03,51,13
2020,52.89,30,5
2478,135.09,26,9
2193,80.35,20,9
1953,68.63,39,6
1895,90.93,24,9
783,40.32,12,5
1904,28.7,13,6
1813,94.15,24,10
1957,84.29,31,7
1305,91.85,18,7
2696,107.53999999999999,28,8
1550,121.46000000000001,24,6
1497,42.4,18,6
716,30.35,10,3
2125,99.87,34,5
3276,177.02,58,13
2319,189.82,37,12
3093,110.74,31,6
2224,67.47,34,9
1830,72.16,35,8
4728,173.13,41,14
1442,39.5,18,4
1222,91.9,17,5
1750,42.19,24,7
1841,53.19,18,5
4532,261.62,58,11
2285,72.76,28,10
2233,175.95,30,7
2735,112.65,30,10
3028,167.85999999999999,37,8
2452,68.71,23,9
1840,49.57,26,8
3017,113.96,28,11
1164,38.519999999999996,18,4
720,19.5,13,1
1875,101.82,29,8
1232,61.4,16,4
896,71.9,14,2
626,32.85,9,4
4388,89.92,44,12
408,6.7,8,3
1828,94.93,20,3
6060,160.19,70,20
443,26.29,8,2
864,62.13,14,2
1113,79.63,14,5
2375,105.52,21,9
1288,69.07000000000001,15,7
2208,126.21000000000001,27,7
2084,60.83,19,6
4553,76.86,38,13
2181,57.1,21,3
2061,97.46,16,4
4444,185.01,42,12
1648,58.9,17,4
2130,45.21,18,4
1175,29.12,17,5
2486,78.19,25,9
1716,50.45,25,6
2617,215.25,37,12
3899,175.63,34,13
3716,131.02,28,7
2184,70.02,18,1
4286,179.78,48,13
803,67.85,15,5
2223,19.05,16,4
2927,174.2,40,3
2650,104.35000000000001,30,11
3110,44.91,37,10
1263,22.67,16,8
1814,97.57,19,3
909,63.81,21,3
